Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
npv/non-persistent-vote/n2=110/sigma=0.25/sortition-check,2.5969911380062003e-5,2.593138164740092e-5,2.600737893117909e-5,8.140994205018632e-8,6.068097340638914e-8,1.083709218630971e-7
npv/non-persistent-vote/n2=110/sigma=0.5/create-win,4.457548805101608e-4,4.4430382728251377e-4,4.4673108629096836e-4,3.321506756909804e-6,2.2678747403717875e-6,5.059949296454705e-6
npv/non-persistent-vote/n2=110/sigma=0.5/verify,1.7282080109512071e-3,1.726789229781004e-3,1.7294429969025777e-3,4.341675596309948e-6,3.416429977767514e-6,5.827751010444911e-6
npv/non-persistent-vote/n2=110/sigma=0.5/sortition-check,4.7328376536592804e-5,4.725261531523105e-5,4.740158947801789e-5,1.6479851256543207e-7,1.24729831647416e-7,2.2341079478255726e-7
npv/non-persistent-vote/n2=130/sigma=5.0e-3/create-win,4.0396563232990827e-4,4.0337327384330285e-4,4.0444091267395865e-4,1.3508134153694687e-6,1.0349813858018617e-6,1.908526112656334e-6
npv/non-persistent-vote/n2=130/sigma=5.0e-3/create-lose,2.748791621224657e-4,2.7465849089239243e-4,2.751742788737893e-4,5.51104591581955e-7,3.3841092360712043e-7,1.008570407086621e-6
npv/non-persistent-vote/n2=130/sigma=5.0e-3/verify,1.6851131882425286e-3,1.6835348654021581e-3,1.6865825363491852e-3,4.784833976930882e-6,3.866682260934877e-6,6.351259663707177e-6
npv/non-persistent-vote/n2=130/sigma=5.0e-3/sortition-check,5.2597058374351e-6,5.213378711037747e-6,5.317479962548621e-6,1.1187143002517985e-7,6.792949225112568e-8,1.7945919261573202e-7
npv/non-persistent-vote/n2=130/sigma=1.0e-2/create-win,4.0456095765925907e-4,4.037324126511077e-4,4.062844413780052e-4,2.9360109050393273e-6,1.7112719661591911e-6,4.922317349739268e-6
npv/non-persistent-vote/n2=130/sigma=1.0e-2/create-lose,2.76261390999914e-4,2.7571993568896333e-4,2.7699696696415876e-4,1.382375579945003e-6,9.567291550622604e-7,1.8528283867866796e-6
npv/non-persistent-vote/n2=130/sigma=1.0e-2/verify,1.682074866943266e-3,1.6690511194359541e-3,1.6910863565070243e-3,3.37345793019124e-5,2.4545286070212918e-5,4.353188264064759e-5
npv/non-persistent-vote/n2=130/sigma=1.0e-2/sortition-check,5.13791132055288e-6,5.1082873196393e-6,5.17902907413015e-6,7.22768952313208e-8,4.792551885877905e-8,1.109145978865199e-7
