Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
npv/non-persistent-vote/n2=130/sigma=5.0e-3/sortition-check,5.199228157145429e-6,5.156261600606666e-6,5.241218315513178e-6,9.010009531520184e-8,7.501675768138043e-8,1.1056342644702187e-7
npv/non-persistent-vote/n2=130/sigma=1.0e-2/create-win,4.065137005982361e-4,4.043653598630115e-4,4.1212427776253106e-4,8.786229530998036e-6,4.2795507272606635e-6,1.616097359942587e-5
npv/non-persistent-vote/n2=130/sigma=1.0e-2/create-lose,2.646067676427811e-4,2.625313325774764e-4,2.6815895026134363e-4,5.784880535865683e-6,3.0027411909074876e-6,9.400961732509172e-6
npv/non-persistent-vote/n2=130/sigma=1.0e-2/verify,1.6396948171962672e-3,1.6331506398571485e-3,1.6470939484291868e-3,2.4001985276754016e-5,1.7550382957137853e-5,3.1730272407445386e-5
npv/non-persistent-vote/n2=130/sigma=1.0e-2/sortition-check,5.113267101939307e-6,5.099965348189169e-6,5.1270998151181936e-6,2.861562740713149e-8,2.2156043024081653e-8,3.775728566740527e-8
npv/non-persistent-vote/n2=130/sigma=5.0e-2/create-win,3.8473034083089764e-4,3.8420879474977416e-4,3.85347806335533e-4,1.5623598273995689e-6,1.2166676624846269e-6,1.919959706336745e-6
npv/non-persistent-vote/n2=130/sigma=5.0e-2/verify,1.6252317741328134e-3,1.6210947959310648e-3,1.628513179527473e-3,1.2113610564767279e-5,9.666368478292534e-6,1.5568976975287526e-5
npv/non-persistent-vote/n2=130/sigma=5.0e-2/sortition-check,8.570913409253257e-6,8.554339622624618e-6,8.606070901281645e-6,4.7594694264483026e-8,2.600705538290409e-8,7.859173130879674e-8
npv/non-persistent-vote/n2=130/sigma=0.1/create-win,3.917517591298342e-4,3.906871278262288e-4,3.9332299161054973e-4,3.661721108623875e-6,2.5051475708857296e-6,5.113291790596354e-6
npv/non-persistent-vote/n2=130/sigma=0.1/verify,1.635406038787863e-3,1.632219726634979e-3,1.6391041166535076e-3,1.1555474427070534e-5,8.628073910107317e-6,1.656663553053294e-5
npv/non-persistent-vote/n2=130/sigma=0.1/sortition-check,1.3546609311854236e-5,1.3512258731092202e-5,1.3624460454473885e-5,1.0646631524261055e-7,4.3916540290639736e-8,1.8151301048572475e-7
npv/non-persistent-vote/n2=130/sigma=0.25/create-win,4.049333380927967e-4,4.041554466620749e-4,4.0595793607326445e-4,2.5438566407717886e-6,1.919414683667313e-6,3.675136705131857e-6
npv/non-persistent-vote/n2=130/sigma=0.25/verify,1.6391665647093913e-3,1.6360575378614945e-3,1.6428324624473006e-3,1.1092866663272863e-5,8.661864757108097e-6,1.4295842058915097e-5
npv/non-persistent-vote/n2=130/sigma=0.25/sortition-check,2.8704906421114708e-5,2.8537856348815997e-5,2.907851098668808e-5,5.100923758654044e-7,2.253885011857627e-7,8.65233297370461e-7
npv/non-persistent-vote/n2=130/sigma=0.5/create-win,4.3177632005007106e-4,4.3096332252306075e-4,4.3371695218249985e-4,3.451076838767981e-6,1.914250108439928e-6,6.242219510551503e-6
npv/non-persistent-vote/n2=130/sigma=0.5/verify,1.672480482342527e-3,1.668473866837687e-3,1.678029394967383e-3,1.549632696809692e-5,1.211245282874586e-5,1.962553121163966e-5
npv/non-persistent-vote/n2=130/sigma=0.5/sortition-check,5.3647033585117675e-5,5.3501417943907505e-5,5.391075303028147e-5,3.869412434579425e-7,2.1799035817000257e-7,6.474536610526848e-7
npv/non-persistent-vote/n2=150/sigma=5.0e-3/create-win,3.791921440003281e-4,3.7875012393995066e-4,3.7999005896792e-4,1.5768526709102908e-6,9.721825375803557e-7,2.6402043572544095e-6
npv/non-persistent-vote/n2=150/sigma=5.0e-3/create-lose,2.5837141564708996e-4,2.5804605483053817e-4,2.586475853147547e-4,6.501278044080268e-7,5.18024716316718e-7,8.098296818323762e-7
npv/non-persistent-vote/n2=150/sigma=5.0e-3/verify,1.614737011155819e-3,1.6103763548564734e-3,1.6199036940471234e-3,1.4144204800770874e-5,1.0214770582484999e-5,1.856313686563021e-5
npv/non-persistent-vote/n2=150/sigma=5.0e-3/sortition-check,5.038967990511582e-6,4.9932487945948675e-6,5.101776786782818e-6,1.1279473379762907e-7,7.326299182692439e-8,1.397372821617923e-7
npv/non-persistent-vote/n2=150/sigma=1.0e-2/create-win,3.9894823013175923e-4,3.974089826554802e-4,4.002684070886241e-4,3.7429209868737245e-6,2.9982858365882174e-6,5.022090428919158e-6
npv/non-persistent-vote/n2=150/sigma=1.0e-2/create-lose,2.720035103373578e-4,2.7144144259939114e-4,2.725547523542709e-4,1.1749575830960147e-6,9.233251925980168e-7,1.5038847228559776e-6
npv/non-persistent-vote/n2=150/sigma=1.0e-2/verify,1.6762977566029417e-3,1.6706599619066532e-3,1.6814820244440503e-3,1.6975327109504186e-5,1.2785550532484325e-5,2.362829757488505e-5
npv/non-persistent-vote/n2=150/sigma=1.0e-2/sortition-check,5.373914723089903e-6,5.361874546490494e-6,5.3911309104334814e-6,3.112724510407806e-8,2.2873770896973675e-8,5.1152712866773847e-8
npv/non-persistent-vote/n2=150/sigma=5.0e-2/create-win,3.9865040038756605e-4,3.9741151176900415e-4,3.9987591570569313e-4,3.5091526183142468e-6,2.751682922008316e-6,4.542042410709122e-6
npv/non-persistent-vote/n2=150/sigma=5.0e-2/verify,1.6632656400015788e-3,1.6578538623268034e-3,1.6672350407835406e-3,1.471125651235197e-5,1.1713085787164019e-5,1.8153507684424e-5
npv/non-persistent-vote/n2=150/sigma=5.0e-2/sortition-check,9.77742993893541e-6,9.67899465179182e-6,9.972629033507166e-6,2.857284006144655e-7,1.431664130490986e-7,4.733385698528616e-7
npv/non-persistent-vote/n2=150/sigma=0.1/create-win,4.071805434065289e-4,4.0555771038410584e-4,4.0905962729819795e-4,4.932609937467794e-6,3.973973229078887e-6,5.694594264464324e-6
npv/non-persistent-vote/n2=150/sigma=0.1/verify,1.6886072641971038e-3,1.6824064857139606e-3,1.6945256537139884e-3,1.9239178512400168e-5,1.709555804223156e-5,2.133528866188547e-5
npv/non-persistent-vote/n2=150/sigma=0.1/sortition-check,1.5805533646763913e-5,1.572500142040093e-5,1.5888197029919873e-5,1.8683915399410664e-7,1.5302475288726212e-7,2.4040176422696354e-7
npv/non-persistent-vote/n2=150/sigma=0.25/create-win,4.2961858952347636e-4,4.2730500238978504e-4,4.326405599815113e-4,7.652806976178308e-6,5.794876376837051e-6,1.0890437726409031e-5
npv/non-persistent-vote/n2=150/sigma=0.25/verify,1.70135111496236e-3,1.6977468659258696e-3,1.7043871755123823e-3,1.107197762993358e-5,9.141726749701559e-6,1.3374708057663123e-5
npv/non-persistent-vote/n2=150/sigma=0.25/sortition-check,3.334846888175394e-5,3.32383622495692e-5,3.347037502763986e-5,2.5387865642146426e-7,1.9094535370909755e-7,3.6223049454017215e-7
npv/non-persistent-vote/n2=150/sigma=0.5/create-win,4.5920983256249315e-4,4.575243062976531e-4,4.6096883694541686e-4,5.029301954582977e-6,4.0713011270492624e-6,6.29823614182881e-6
npv/non-persistent-vote/n2=150/sigma=0.5/verify,1.7264997270088906e-3,1.722726948918538e-3,1.7305492075832675e-3,1.2977332249636052e-5,1.0984500673860195e-5,1.6217964443106175e-5
npv/non-persistent-vote/n2=150/sigma=0.5/sortition-check,6.391042869483746e-5,6.369592879775415e-5,6.406883249186602e-5,3.808047284454293e-7,2.9460084160701053e-7,5.186788794950415e-7
